NETWORK,FEATURE,SUBJECT,N,P,K,ACC,PVAL
MD,seq v if,735.mat,32,0.500000,20,0.625000,0.107664
MD,seq v if,736.mat,32,0.500000,22,0.687500,0.025051
MD,seq v if,737.mat,32,0.500000,25,0.781250,0.001051
MD,seq v if,738.mat,32,0.500000,14,0.437500,0.811457
MD,seq v if,739.mat,32,0.500000,20,0.625000,0.107664
MD,seq v if,740.mat,32,0.500000,23,0.718750,0.010031
MD,seq v if,743.mat,32,0.500000,19,0.593750,0.188543
MD,seq v if,744.mat,32,0.500000,20,0.625000,0.107664
MD,seq v if,745.mat,32,0.500000,20,0.625000,0.107664
MD,seq v if,759.mat,32,0.500000,21,0.656250,0.055092
MD,seq v if,760.mat,32,0.500000,18,0.562500,0.298307
MD,seq v if,761.mat,32,0.500000,26,0.812500,0.000268
MD,seq v if,762.mat,32,0.500000,19,0.593750,0.188543
MD,seq v if,763.mat,32,0.500000,19,0.593750,0.188543
MD,seq v if,764.mat,32,0.500000,23,0.718750,0.010031
MD,seq v if,766.mat,32,0.500000,16,0.500000,0.569975
MD,for v if,725.mat,32,0.500000,23,0.718750,0.010031
MD,for v if,726.mat,32,0.500000,22,0.687500,0.025051
MD,for v if,727.mat,32,0.500000,23,0.718750,0.010031
MD,for v if,728.mat,32,0.500000,16,0.500000,0.569975
MD,for v if,729.mat,32,0.500000,22,0.687500,0.025051
MD,for v if,731.mat,32,0.500000,27,0.843750,0.000057
MD,for v if,732.mat,32,0.500000,17,0.531250,0.430025
MD,for v if,733.mat,32,0.500000,21,0.656250,0.055092
MD,for v if,734.mat,32,0.500000,27,0.843750,0.000057
MD,for v if,735.mat,32,0.500000,21,0.656250,0.055092
MD,for v if,736.mat,32,0.500000,22,0.687500,0.025051
MD,for v if,737.mat,32,0.500000,22,0.687500,0.025051
MD,for v if,738.mat,32,0.500000,23,0.718750,0.010031
MD,for v if,739.mat,32,0.500000,22,0.687500,0.025051
MD,for v if,740.mat,32,0.500000,20,0.625000,0.107664
MD,for v if,743.mat,32,0.500000,19,0.593750,0.188543
MD,for v if,744.mat,32,0.500000,18,0.562500,0.298307
MD,for v if,745.mat,32,0.500000,17,0.531250,0.430025
MD,for v if,759.mat,32,0.500000,20,0.625000,0.107664
MD,for v if,760.mat,32,0.500000,24,0.750000,0.003500
MD,for v if,761.mat,32,0.500000,21,0.656250,0.055092
MD,for v if,762.mat,32,0.500000,24,0.750000,0.003500
MD,for v if,763.mat,32,0.500000,22,0.687500,0.025051
MD,for v if,764.mat,32,0.500000,20,0.625000,0.107664
MD,for v if,766.mat,32,0.500000,21,0.656250,0.055092
aud,sent v code,725.mat,72,0.666667,44,0.611111,0.869086
aud,sent v code,726.mat,72,0.666667,60,0.833333,0.001253
aud,sent v code,727.mat,72,0.666667,58,0.805556,0.006891
aud,sent v code,728.mat,72,0.666667,49,0.680556,0.455784
aud,sent v code,729.mat,72,0.666667,52,0.722222,0.191725
aud,sent v code,731.mat,72,0.666667,58,0.805556,0.006891
aud,sent v code,732.mat,72,0.666667,48,0.666667,0.555117
aud,sent v code,733.mat,72,0.666667,62,0.861111,0.000157
aud,sent v code,734.mat,72,0.666667,51,0.708333,0.268958
aud,sent v code,735.mat,72,0.666667,45,0.625000,0.810087
aud,sent v code,736.mat,72,0.666667,57,0.791667,0.014282
aud,sent v code,737.mat,72,0.666667,57,0.791667,0.014282
aud,sent v code,738.mat,72,0.666667,46,0.638889,0.736666
aud,sent v code,739.mat,72,0.666667,61,0.847222,0.000467
aud,sent v code,740.mat,72,0.666667,59,0.819444,0.003067
aud,sent v code,743.mat,72,0.666667,47,0.652778,0.650476
aud,sent v code,744.mat,72,0.666667,51,0.708333,0.268958
aud,sent v code,745.mat,72,0.666667,53,0.736111,0.129344
aud,sent v code,759.mat,72,0.666667,53,0.736111,0.129344
aud,sent v code,760.mat,72,0.666667,43,0.597222,0.913844
aud,sent v code,761.mat,72,0.666667,65,0.902778,0.000003
aud,sent v code,762.mat,72,0.666667,53,0.736111,0.129344
aud,sent v code,763.mat,72,0.666667,51,0.708333,0.268958
aud,sent v code,764.mat,72,0.666667,65,0.902778,0.000003
aud,sent v code,766.mat,72,0.666667,47,0.652778,0.650476
aud,math v str,725.mat,48,0.500000,25,0.520833,0.442717
aud,math v str,726.mat,48,0.500000,20,0.416667,0.903294
aud,math v str,727.mat,48,0.500000,25,0.520833,0.442717
aud,math v str,728.mat,48,0.500000,22,0.458333,0.764560
aud,math v str,729.mat,48,0.500000,24,0.500000,0.557283
aud,math v str,731.mat,48,0.500000,25,0.520833,0.442717
aud,math v str,732.mat,48,0.500000,27,0.562500,0.235440
aud,math v str,733.mat,48,0.500000,29,0.604167,0.096706
aud,math v str,734.mat,48,0.500000,29,0.604167,0.096706
aud,math v str,735.mat,48,0.500000,24,0.500000,0.557283
aud,math v str,736.mat,48,0.500000,23,0.479167,0.667267
